"","INVENTORY_ID","PLOT_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","BASAL_AREA","DENSITY","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H"
"3264","IFN2","15_1004_IFN2",25,5,26,40.1436416666667,871.603203901482,22.5155007304009,13.9783314397013,24.2160906678306,16.4510869565217
"3268","IFN2","15_1006_IFN2",22,31,26,5.52058888888889,70.7355302630646,31.1,15.4,31.5231026391756,15.4
"3270","IFN2","15_1008_IFN2",2,41,26,1.80710625,95.4929658551372,15.3833333333333,14.1666666666667,15.5224836930177,14.1666666666667
"3275","IFN2","15_1016_IFN2",2,5,26,38.8053902777778,1828.51345730022,15.7911025145068,13.8878143133462,16.4381147059826,16.0625
"3279","IFN2","15_1022_IFN2",22,5,26,9.1644875,583.568124670283,12.8745454545455,12.7878787878788,14.1404545381489,14.8333333333333
"3285","IFN2","15_1027_IFN2",4,31,26,5.47013055555556,198.059484736581,16.7535714285714,11.3571428571429,18.7523665173226,11.3571428571429
"3292","IFN2","15_1036_IFN2",32,31,26,18.2146403333333,396.826324775792,21.3442067736185,10.4789661319073,24.1749242515224,15.3282051282051
"3302","IFN2","15_1047_IFN2",15,31,26,26.7486604166667,1099.93749559065,17.0242765273312,11.9067524115756,17.5963290438641,13.0625
"3304","IFN2","15_1049_IFN2",12,21,26,17.6113536388889,479.021010941473,19.677658003544,13.1565268753692,21.6358592126329,15.6222826086957
"3306","IFN2","15_1053_IFN2",12,31,26,31.4218808611111,1787.20390762659,13.5643829652497,10.7544526240798,14.961808626206,18.6949152542373
"3310","IFN2","15_1056_IFN2",2,24,26,2.86104377777778,33.3871702841665,32.106779661017,19.1101694915254,33.0314398255534,19.1101694915254
"3314","IFN2","15_1058_IFN2",27,21,26,8.913525,279.405344539105,19.4848101265823,14.3607594936709,20.154055407463,15.1029411764706
